text,label
The only thing I got from college is a caffeine addiction,1
someone hit me w a horse tranquilizer istg ive been in a pool of sweat for 6 hours and i havent slept im so tired but i love my friend so much and oh my fucking god i cant rn,1
"I never thought I'd say this, but I have become one of those people who like bounty bars.",1
"Oh my goodness. It’s the first week of the summer holidays and Harrison has found his recorder. 

Give.
Me.
Strength.",1
"@AsdaServiceTeam imagine your delivery being 2 hours late, and imagine calling up your service team only for them to hang up at 10pm, coincidentally the same time the office closes. But it’s okay, my £3 delivery fee is being refunded though 👊🏻",1
Tinnitus is my favourite thing ever I love it. So loud so atmospheric https://t.co/mNJw5GvPzy,1
Beautician and the Beast (1997). Best Timothy Dalton film of all time.,1
2 busy working 2 care,1
Overthinking everything in life really takes a toll on you,1
I still can’t believe England won the World Cup,1
Efy is great,1
cold queso is so much better than warm queso https://t.co/5TaMe4aSO6,1
"Sometimes I feel like all this effort is just like sticking diamond encrusted alloys on a knackered Corsa. I mean, shit is what it is at the end of the day.",1
#HappyBirthdayKeanuReeves Keanu Reeves is so wholesome ☺️,1
"Tonight @ dinner I sat by &amp; chatted w/ the former chancellor of Ole Miss, a former Miss MS, &amp; the owner of the Miss America pageant

Casual.",1
I got called ugly on Twitter by an uneducated teen who refuses to show his face:( I’m gonna cry myself to sleep😭 I’m in gut wrenching pain!,1
yeah i enjoy some oregano on a nice pasta dinner (dumps oregano on mac n cheese),1
Replace Pelosi #Nancy,1
"No joke, air-fried Twisted Teas are THE BEST.",1
the manliest thing I can think of is when the men from the World Cup passionately sing their national anthem,1
"The Drew Barrymore Show is an absolute trainwreck. Like The Tony Danza Show, every two minutes is a clip for The Soup.",1
"@kagune_kun despicable tweet, my liege",1
"Horse dancing is my new favorite Olympic sport, I have no clue what’s happening, but this is incredible",1
"When you're feeling all in your feelings, but a certain BEST FRIEND is making you see reason, and maybe you'll be okay. So damn rude. 😤 @LadyDeadlight",1
"Roses are Red
Violets are Blue
My first love was Championship Manager
Tommy Svindal Larsen and Kennedy Bakircioglu 

#HappyValentinesDay",1
ate a bagel with cream cheese earlier and the impending doom immediately vanished from my mind,1
Amazing how fast this team can go winning from 13 straight to losing three in a row. Lol. Horrible managing tonight. I really hope this Boone experiment is over soon.,1
Hands up who remembers when EVERY blogger and their dog was a brand ambassador for Coconut Lane 😂,1
pay it forward is honestly one of the worst movies I've ever seen why would would anyone make an ending so sad I've been crying for 30 min,1
Mine and @livlawrencex snapchats are just stunning👌,1
never drinking again,1
It was the jerseys,1
Getting a dog was single handedly the best and worst thing I’ve ever done..can’t imagine life without her and I can’t live without her.. Make sense?,1
"Nothing can be further from the kickoff of the NFL season than a pre-game performance by Ed Sheeran.

Nothing against him but he just doesn't inspire me to watch football.

#Football #NFL #Weak #TestosteroneDeficiency https://t.co/JTI2qgSxUq",1
do i like him or is his hair just curly??,1
just met the love of my life don't text,1
bad romance by lady gaga is the best song to ever come out of the american music industry and anyone who says otherwise is a liar,1
Just had a flashback about a boy and nearly threw up in my mouth,1
Wow great album from Kanye. v John Cage 4’43 vibes x,1
So excited to start this job!😊,1
There is nothing new in an oliver james publication that can't be found elsewhere for free. He's a leftist living a straight bourgeois life,1
I'm just living off salads and yogurt and loving it tbh,1
I never feel more empowered than when I’m listening to ‘this is me’ from camp rock,1
I really hate the new TikTok voice over voice - she sound annoying af,1
Mad how many cars they make now without indicators 🙃,1
"Day 55 of Lockdown. Finally bought some jigsaw puzzles. Absolutely cannot wait for them to come, highlight of my day (maybe even year)",1
CLB cover art makes me want to pound my knees with a hammer.,1
it’s literally so hard being this hot and sexy and beautiful everyday,1
"love island is ending, law school is starting again…summer is really over",1
so many people pressed that italy won sorry eurovision belongs to the bisexuals now x #Eurovision,1
What happened to unbiased journalism @SkyNews?,1
"Have the most balanced diet, a healthy balance of codeine, panadol and ibuprofen....",1
"@OldUnclePunch Yes, because we really have that sort of power. Why do brexity types always sound like they are all paranoid conspiracy therorists?",1
Pregnant and constantly crave KitKats. I literally have been living off of them for the past 4 months.  @KitKat_US,1
"Yeah I’m following a lot of shows right now, the price is right is pretty good but season 1 is better than season 2",1
"Watched 127 hours... Kinda reminded me of this one time I got a bad splinter. Writing a book about it now, hit me up for an autographed copy",1
"""friends""",1
"Top 3 ranked video games of all time:

1. Minecraft
2. Roblox Paintball
3. Every single Just Dance",1
my favorite gay drama is the social network,1
i’ve had more interesting conversations w my wall but alright,1
just your casual reminder that #AllBirthdaysMatter and I can’t stress this enough✨fuck trump✨,1
Why are toddlers allowed in public spaces,1
I get a lot of boy who cried wolf vibes from the Red Cross and their emergency blood shortages all the time,1
Wait for the car driving down the path!,0
drive to work with no music kinda day,0
One positive of the dark mornings is you can walk the dogs in your pyjamas and no one can tell 🤗🤗🤗,0
"@wfcouncil Hi there, I'm told by the staff at fellowship square on this hot day that there is no cold water provision to full up reusable bottles unless I want to fill up ""from the toilet"" , is that actually my only option?",0
"The city is flying, we’re fighting robots, and I have a bow and arrow. Classic",0
Bring on diallo ffs. Nothing is working rn.,0
My tolerance for heat is near zero. Sweating putting washing out 🥵,0
@rolandsmartin @nypost Damn!  At my wedding we drank enough to make up for the no shows!  🤔,0
"just asked a patient if she'd like to schedule for the same time next week and she said ""no, but it was nice meeting you.""

well.... fair enough 😅",0
i turn 18 today &amp; im not even gonna be surprised if my parents tell me I’m adopted bc my genetics would a lot more sense,0
"sorry to the proctor for my chem exam last week that saw me cry for 20 mins. don’t worry, I changed my major 🤟🏼😬",0
Hell of a last second decision by Hooker!,0
"Just poured boiling water all over my cereal instead of into my tea cup, gonna be a long day this.",0
if you drive dangerously on purpose you’re the scum of the earth,0
Wow how do y’all watch basketball just a bunch of dudes running around and bouncing a ball what a snore fest,0
"18 yr olds: *literally in the olympics* 
me: *just melted the bread bag onto the toaster*",0
"My new favorite thing to do while teaching this insect ecology course is to make a stupid mistake, like posting the wrong zoom link or uploading the wrong assignment, and then say""can you believe I almost have my PhD??"" to my students. They cannot, folks.",0
Gods playing games today. Makin it 68 degrees but 1000% humidity. Smh,0
By the way Rutgers furloughed their emergency services workers but not the athletic trainers or police. Make it make sense.,0
@markbishopuk @DrPragyaAgarwal They are legally entitled to ask for asylum.,0
"Well, my vaccinated therapist tested positive for Covid.  Hope she’s okay and hope my mental health hangs on for 10 extra days.",0
@dyIanobrins 💙,0
oh cool I drive to school in less than 12 hours and I’m frantically looking up fun facts about the final destination franchise for absolutely no reason it’s fine everything’s fiNE,0
if anyone sees me listening to tavern music or sea shanties on Spotify no you didn’t,0
I hate the mall every girl here is talking about shopping for the “dress code”. I feel 👩🏼‍🦳👩🏼‍🦳👩🏼‍🦳,0
"[at Burger King]

French proletariat: we'll have the king

Burger: :)

King: :(",0
Oh hey guys I got the job I start Wednesday 😇,0
I’m starting to think “plus size” for hollywood/the fashion industry just means above a C cup bra-wise with an hourglass figure 🙁,0
@johnredwood Nurse! John’s been sniffing ivermectin again.,0
Las Iguanas 👌😍🍷🍴,0
when a girl says she isn’t a girls girl 🚩🚩,0
any of my oomfies wanna write my user on their thighs,0
"@celtjules66 I think Johnson likes this extreme form of social control. It is surely  time to revolt against this madness. The vulnerable and over 60s have mostly all been double vaccinated &amp; for the over 50s it is imminent. Depression kills as well, further restrictions make it more likely.",0
"If I was a wealthy Boomer and I saw a bunch of angry Millennials coming for my money, I'd be nervous. We already killed Applebee's, we will kill again #EatTheRich",0
"""@elliekonsker: if u wear heels to school i have a few questions: 1. why"" ask some of the salcc girls",0
Got my lowball business class upgrade bid accepted for my train from DC to NYC this morning and ended up without anyone sitting next to me for the whole trip. A positive sign for the weekend.,0
not enough essays about hozier saying “i slithered here from eden just to sit outside your door” and all of the implications that go along w it,0
@NTCastleWard @PeteSnodden Can't wait!,0
"I think the corn should be part of the game, let the players chase balls into the corn field! #FieldOfDreamsGame 🌽🌽🌽",0
Love that The Paris Hilton doc opens w a Jesus and Mary Chain song,0
@ky3onidas__ @OMLLJC they probably filled in the ground with something too dense for the roots to get into. clay or something like that,0
"Knocked on a door to deliver a parcel, waited 30secs then I see the parcel had a safeplace so went to the neighbour. Then this moody 20yr old answered the door in a Spurs shirt talking shit, so I laugh and say was u crying about Harry Kane, is that why u took so long to answer 🤣",0
#Snowden Sad to see intelligent Americans fall victim to the US propaganda machine in this case. So many lies set up to discredit by the US.,0
Also I can't wait to see how many white Boomers are going to be pissed off about the artists singing in Spanish. #SuperBowl #SuperBowlHalftimeShow,0
I'm gonna have a breakdown.,0
Mnet girls planet 999 top 9 choices literally all horrific forgettable girls not charming or enjoyable to watch clearly biased to k group I’m literally going to take action,0
"what if the next iteration of onlyfans was run by women?

ceo: @natalinanoel
investors: @BLACCHYNA @iamcardib @miakhalifa @PrincessPiaMia @CorinnaKopf @tanamongeau @HelloImLana
software engineers (sry if incorrect terminology): @codergirl__  @sashacodes
marketing: @ModGirlMktg https://t.co/7lEBt3KNF5",0
Just forced myself to go to class and spilt hot coffee in my lap while driving. How’s your day going? 😅,0
@_Priya_R @ZebrafishRock Have you tried Steve Wilson at UCL?,0
"Context: ~leg day~
Jacob: I need power
*plays Britney Spears*
Yes sir I love u",0
@BBCScotBorders @PaulWheelhouse The % you quote is of those eligible. This is surely misleading?,0
"@glennhodl @EverydayDCA Hey Glenn, what is this app called?",0
"If they are going after the misspelling “definately” as proof of H, then I’m afraid half of Facebook are suspects. #LineOfDuty #LineofDutyFinale",0
True bliss is laying in an ice cold bath during the hottest part of the year,0
Markets already down,0
"Just watched the Murray game and BBC commentary after. Isn't ""Andrew Castle"" cockney rhyming slang for something? Should be.",0
maybe i’ll shut up about wisconsin drivers when y’all stop fuckin driving like that,0
Ready to not be pregnant so I can enjoy my first espresso martini,0
People who drive under the speed limit. Death Penalty.,0
There's a guy busking with just 2 korg synths playing techno at picadilly circus wearing a cosmic bucket hat. Excellent.,0
"Johnson &amp; Johnson really be tryna kill you from the time you're a baby. If they don't get you in childhood, they'll try to kill you throughout your entire life. Recalls left and right 😬🥴😂🤦🏽‍♀️",0
"just got an A in my actuarial mathematics course,  if that doesnt prove the power of manifestation idk what will",0
"So that whole stay at home for Thanksgiving thing?  Not happening, took me 1.5 hours to drive to work instead of my usual 45 minutes... ARGH!!!",0
"We are an evolved people.. seriously, can we figure out how to make bathroom doors without a two inch crack so I don’t make eye contact with anyone else while pants-less?",0
"“Oven ready, shove it in the microwave” and this man is our PM✌🏼",0
It’s deadline week so naturally my laptop has given up on me looks like an all nighter at the library is on the books,0
Why perform at the @BRITs if you’re going to mime? 🧐,0
"checked ring footage last eve. shoutout to unknown neighbor who, despite being very pregnant and walking around icy sidewalks, drove to my house and delivered three of my UPS packages wrongly delivered to her. Not that she knew, but it was over $100 worth of stuff! 🙏🏻",0
"Of course the Orioles would end their losing streak on a night where they face the odds on MVP/Cy Young favorite.

Hitting 3 homers off him.

Having him strike out 3 times, and not hit a ball out of the infield. 

And come back from a 6-2 deficit. 

Of course.",0
"When youuurrrrrr Ubereats driver is legit two minutes away from your house, and then cancels your order, saying you didn’t answer the door. 🕵🏻‍♀️ 🧐🧐🧐 I know you ate my food Randy, I hope it gave you diarrhea 😤",0
the way uni won’t give me extra time on assessments despite them replacing exams (which i get time for) because of covid 🤩🤩🥰😍,0
accepted for beat the chasers audience✅ level up ✅,0
@isekaimusician @desi_guardiola @FutbolBible @Yajmal13 This is a myth actually. It can't happen . But certainly you can choke on vomit so it's important to clear airways,0
"Does the actor make a line famous, or does the writer?",0
Oh no here comes the sushi craving 😫,0
My mouth while drunk….. unstoppable,0
"when i die
show no pity
bury my body in party city",0
my boss just put me on payroll????? *pauses unpaid intern by mr. burnham*,0
Went through all the trouble of growing this bone helmet over my meat computer just for it to start hurting itself from the inside,0
It is midnight. On a Thursday. My roommates decided that right now is probably a really good time to both play French horn in the living room. W H Y,0
"@LandisDillard @nytimes It depends. Most gas stations are independently owned and operated, so in that case no.",0
thunderstorms😍😍,0
"Wait why am I seeing bi/pan lesbian hate again
Did yall learn nothing??",0
do you check ur bank account every other second or are u financially stable?,0
i hate when ur food starts popping like crazy in the microwave &amp; then u take it out &amp; it’s still cold😐😐😐,0
I should’ve called in 🥴,0
"@profitwithant With B at over 10.4% annual return you can beat C.

I'd suggest some form of real estate investment vehicle to get roughly 10-12%. Likely to appreciate anyway, plus further savings makes this a preferable option to purely C.",0
Someone stole the 13.1 magnet off my car! #asshole #really?,0
