idx,text,label,category
0,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 £3/wk",0,ambiguous
1,Armand says get your ass over to epsilon,1,ambiguous
2,Lol now I'm after that hot air balloon!,1,ambiguous
3,"You know, wot people wear. T shirts, jumpers, hat, belt, is all we know. We r at Cribbs",1,none
4,"Good morning, my Love ... I go to sleep now and wish you a great day full of feeling better and opportunity ... You are my last thought babe, I LOVE YOU *kiss*",1,easy
5,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of£2000 CASH 18+only. To opt out txt X to 07786200117,0,ambiguous
6,Sorry . I will be able to get to you. See you in the morning.,1,easy
7,"Sorry, I'll call later",1,none
8,I AM AT A PARTY WITH ALEX NICHOLS,1,ambiguous
9,Crazy ar he's married. Ü like gd looking guys not me. My frens like say he's korean leona's fave but i dun thk he is. Aft some thinking mayb most prob i'll go.,1,none
10,Were somewhere on Fredericksburg,1,ambiguous
11,It has issues right now. Ill fix for her by tomorrow.,1,easy
12,Wah lucky man... Then can save money... Hee...,1,easy
13,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams,1,easy
14,Yes when is the appt again?,1,none
15,Tmr timin still da same wat cos i got lesson until 6...,1,ambiguous
16,Are there TA jobs available? Let me know please cos i really need to start working,1,easy
17,Refused a loan? Secured or Unsecured? Can't get credit? Call free now 0800 195 6669 or text back 'help' & we will!,0,ambiguous
18,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,0,ambiguous
19,Ugh fuck it I'm resubbing to eve,1,easy
20,I anything lor...,1,none
21,"Congratulations - Thanks to a good friend U have WON the £2,000 Xmas prize. 2 claim is easy, just call 08712103738 NOW! Only 10p per minute. BT-national-rate",0,ambiguous
22,Where are you?when wil you reach here?,1,easy
23,* Was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train,1,ambiguous
24,Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...,1,none
25,Still chance there. If you search hard you will get it..let have a try :),1,easy
26,"Shop till u Drop, IS IT YOU, either 10K, 5K, £500 Cash or £100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary",0,ambiguous
27,Yup but not studying surfing lor. I'm in e lazy mode today.,1,none
28,The guy did some bitching but I acted like i'd be interested in buying something else next week and he gave it to us for free,1,ambiguous
29,No..but heard abt tat..,1,easy
30,Oh gei. That happend to me in tron. Maybe ill dl it in 3d when its out,1,easy
31,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng,1,ambiguous
32,We not leaving yet. Ok lor then we go elsewhere n eat. U thk...,1,easy
33,"Camera quite good, 10.1mega pixels, 3optical and 5digital dooms. Have a lovely holiday, be safe and i hope you hav a good journey! Happy new year to you both! See you in a couple of weeks! ",1,hard
34,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical",1,ambiguous
35,Ya but it cant display internal subs so i gotta extract them,1,easy
36,"No dice, art class 6 thru 9 :( thanks though. Any idea what time I should come tomorrow?",1,none
37,Same to u...,1,easy
38,Well then you have a great weekend!,1,none
39,So how many days since then?,1,hard
40,Is there any training tomorrow?,1,ambiguous
41,Happy new years melody!,1,ambiguous
42,Great! I have to run now so ttyl!,1,easy
43,"Yep, at derek's house now, see you Sunday &lt;3",1,none
44,"OH MR SHEFFIELD! You wanna play THAT game, okay. You're the boss and I'm the nanny. You give me a raise and I'll give YOU one!!",1,ambiguous
