text,label
"Camera quite good, 10.1mega pixels, 3optical and 5digital dooms. Have a lovely holiday, be safe and i hope you hav a good journey! Happy new year to you both! See you in a couple of weeks! ",1
So how many days since then?,1
What he said is not the matter. My mind saying some other matter is there.,1
True lov n care wil nevr go unrecognized. though somone often makes mistakes when valuing it. but they will definitly undrstnd once when they start missing it.,1
Well there's a pattern emerging of my friends telling me to drive up and come smoke with them and then telling me that I'm a weed fiend/make them smoke too much/impede their doing other things so you see how I'm hesitant,1
Its a part of checking IQ,1
Do u ever get a song stuck in your head for no reason and it won't go away til u listen to it like 5 times?,1
Sindu got job in birla soft ..,1
Can you say what happen,1
Oh really?? Did you make it on air? What's your talent?,1
I can't describe how lucky you are that I'm actually awake by noon,1
hanks lotsly!,1
"Abeg, make profit. But its a start. Are you using it to get sponsors for the next event?",1
What happened in interview?,1
You will be in the place of that man,1
Can you do online transaction?,1
"Beautiful tomorrow never comes.. When it comes, it's already TODAY.. In the hunt of beautiful tomorrow don't waste your wonderful TODAY.. GOODMORNING:)",1
We stopped to get ice cream and will go back after,1
It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,1
Have a great trip to India. And bring the light to everyone not just with the project but with everyone that is lucky to see you smile. Bye. Abiola,1
I'm reaching home in 5 min.,1
"I'm a guy, browsin is compulsory",1
"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL",1
Ok. Very good. Its all about making that money.,1
Great. I was getting worried about you. Just know that a wonderful and caring person like you will have only the best in life. Know that u r wonderful and God's love is yours.,1
HCL chennai requires FRESHERS for voice process.Excellent english needed.Salary upto  &lt;#&gt; .Call Ms.Suman  &lt;#&gt;  for Telephonic interview -via Indyarocks.com,1
Nooooooo I'm gonna be bored to death all day. Cable and internet outage.,1
"Sir, waiting for your letter.",1
Well welp is sort of a semiobscure internet thing,1
Hope you are having a great day.,1
What was she looking for?,1
Convey my regards to him,1
"""CHEERS U TEX MECAUSE U WEREBORED! YEAH OKDEN HUNNY R UIN WK SAT?SOUNDS LIKEYOUR HAVIN GR8FUN J! KEEP UPDAT COUNTINLOTS OF LOVEME XXXXX.""",1
"Sorry, I'll call later in meeting",1
"Plz note: if anyone calling from a mobile Co. &amp; asks u to type # &lt;#&gt;  or # &lt;#&gt; . Do not do so. Disconnect the call,coz it iz an attempt of 'terrorist' to make use of the sim card no. Itz confirmd by nokia n motorola n has been verified by CNN IBN.",1
Do you know when the result.,1
Anything...,1
"""NOT ENUFCREDEIT TOCALL.SHALL ILEAVE UNI AT 6 +GET A BUS TO YOR HOUSE?""",1
For me the love should start with attraction.i should feel that I need her every time around me.she should be the first thing which comes in my thoughts.I would start the day and end it with her.she should be there every time I dream.love will be then when my every breath has her name.my life should happen around her.my life will be named to her.I would cry for her.will give all my happiness and take all her sorrows.I will be ready to fight with anyone for her.I will be in love when I will be doing the craziest things for her.love will be when I don't have to proove anyone that my girl is the most beautiful lady on the whole planet.I will always be singing praises for her.love will be when I start up making chicken curry and end up makiing sambar.life will be the most beautiful then.will get every morning and thank god for the day because she is with me.I would like to say a lot..will tell later..,1
"K so am I, how much for an 8th? Fifty?",1
"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL",1
1's finish meeting call me.,1
What's a feathery bowa? Is that something guys have that I don't know about?,1
Correct. So how was work today,1
Do you know where my lab goggles went,1
"I am real, baby! I want to bring out your inner tigress...",1
Goodmorning sleeping ga.,1
Pls help me tell sura that i'm expecting a battery from hont. And that if should pls send me a message about how to download movies. Thanks,1
Here got lots of hair dresser fr china.,1
Oh ho. Is this the first time u use these type of words,1
cool. We will have fun practicing making babies!,1
Good morning princess! How are you?,1
Going thru a very different feeling.wavering decisions and coping up with the same is the same individual.time will heal everything i believe.,1
Great. Never been better. Each day gives even more reasons to thank God,1
Then mum's repent how?,1
Future is not what we planned for tomorrow.....! it is the result of what we do today...! Do the best in present... enjoy the future.,1
How do friends help us in problems? They give the most stupid suggestion that Lands us into another problem and helps us forgt the previous problem,1
That means get the door,1
"I'm an actor. When i work, i work in the evening and sleep late. Since i'm unemployed at the moment, i ALWAYS sleep late. When you're unemployed, every day is saturday.",1
"To the wonderful Okors, have a great month. We cherish you guys and wish you well each day. MojiBiola",1
"Hey sexy buns ! Have I told you ? I adore you, loverboy. I hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe",1
"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",1
You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,1
"Painful words- ""I thought being Happy was the most toughest thing on Earth... But, the toughest is acting Happy with all unspoken pain inside..""",1
It is only yesterday true true.,1
Yup,1
How much you got for cleaning,1
Thanks for your message. I really appreciate your sacrifice. I'm not sure of the process of direct pay but will find out on my way back from the test tomorrow. I'm in class now. Do have a wonderful day.,1
"I feel like a dick because I keep sleeping through your texts and facebook messages. Sup, you in town?",1
Oh k k:)but he is not a big hitter.anyway good,1
Is that seriously how you spell his name?,1
"Did he say how fantastic I am by any chance, or anything need a bigger life lift as losing the will 2 live, do you think I would be the first person 2 die from N V Q? ",1
I have a sore throat. It's scratches when I talk,1
I take it we didn't have the phone callon Friday. Can we assume we won't have it this year now?,1
Crucify is c not s. You should have told me earlier.,1
My tuition is at 330. Hm we go for the 1120 to 1205 one? Do you mind?,1
"Good afternon, my love. How are today? I hope your good and maybe have some interviews. I wake and miss you babe. A passionate kiss from across the sea",1
You got called a tool?,1
"Forgot you were working today! Wanna chat, but things are ok so drop me a text when you're free / bored etc and i'll ring. Hope all is well, nose essay and all xx",1
Not yet had..ya sapna aunty manege y'day hogidhe..chinnu full weak and swalpa black agidhane..,1
Need a coffee run tomo?Can't believe it's that time of week already,1
"Er, hello, things didn‘t quite go to plan – is limping slowly home followed by aa and with exhaust hanging off",1
So can collect ur laptop?,1
When did you get to the library,1
Hi its in durban are you still on this number,1
Huh? 6 also cannot? Then only how many mistakes?,1
Love it! The girls at the office may wonder why you are smiling but sore...,1
o turns out i had stereo love on mi phone under the unknown album.,1
"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng",1
What makes you most happy?,1
"Ela kano.,il download, come wen ur free..",1
"Good FRIENDS CaRE for each Other.. CLoSE Friends UNDERSTaND each Other... and TRUE Friends STaY forever beyond words, beyond time. Gud ni8",1
Joy's father is John. Then John is the ____ of Joy's father. If u ans ths you hav  &lt;#&gt;  IQ. Tis s IAS question try to answer.,1
