idx,text,label
0,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 £3/wk",0
1,Armand says get your ass over to epsilon,1
2,Lol now I'm after that hot air balloon!,1
3,"You know, wot people wear. T shirts, jumpers, hat, belt, is all we know. We r at Cribbs",1
4,"Good morning, my Love ... I go to sleep now and wish you a great day full of feeling better and opportunity ... You are my last thought babe, I LOVE YOU *kiss*",1
5,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of£2000 CASH 18+only. To opt out txt X to 07786200117,0
6,Sorry . I will be able to get to you. See you in the morning.,1
7,"Sorry, I'll call later",1
8,I AM AT A PARTY WITH ALEX NICHOLS,1
9,Crazy ar he's married. Ü like gd looking guys not me. My frens like say he's korean leona's fave but i dun thk he is. Aft some thinking mayb most prob i'll go.,1
10,Were somewhere on Fredericksburg,1
11,It has issues right now. Ill fix for her by tomorrow.,1
12,Wah lucky man... Then can save money... Hee...,1
13,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams,1
14,Yes when is the appt again?,1
15,Tmr timin still da same wat cos i got lesson until 6...,1
16,Are there TA jobs available? Let me know please cos i really need to start working,1
17,Refused a loan? Secured or Unsecured? Can't get credit? Call free now 0800 195 6669 or text back 'help' & we will!,0
18,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,0
19,Ugh fuck it I'm resubbing to eve,1
20,I anything lor...,1
21,"Congratulations - Thanks to a good friend U have WON the £2,000 Xmas prize. 2 claim is easy, just call 08712103738 NOW! Only 10p per minute. BT-national-rate",0
22,Where are you?when wil you reach here?,1
23,* Was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train,1
24,Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...,1
25,Still chance there. If you search hard you will get it..let have a try :),1
26,"Shop till u Drop, IS IT YOU, either 10K, 5K, £500 Cash or £100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary",0
27,Yup but not studying surfing lor. I'm in e lazy mode today.,1
28,The guy did some bitching but I acted like i'd be interested in buying something else next week and he gave it to us for free,1
29,No..but heard abt tat..,1
30,Oh gei. That happend to me in tron. Maybe ill dl it in 3d when its out,1
31,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng,1
32,We not leaving yet. Ok lor then we go elsewhere n eat. U thk...,1
33,"Camera quite good, 10.1mega pixels, 3optical and 5digital dooms. Have a lovely holiday, be safe and i hope you hav a good journey! Happy new year to you both! See you in a couple of weeks! ",1
34,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical",1
35,Ya but it cant display internal subs so i gotta extract them,1
36,"No dice, art class 6 thru 9 :( thanks though. Any idea what time I should come tomorrow?",1
37,Same to u...,1
38,Well then you have a great weekend!,1
39,So how many days since then?,1
40,Is there any training tomorrow?,1
41,Happy new years melody!,1
42,Great! I have to run now so ttyl!,1
43,"Yep, at derek's house now, see you Sunday &lt;3",1
44,"OH MR SHEFFIELD! You wanna play THAT game, okay. You're the boss and I'm the nanny. You give me a raise and I'll give YOU one!!",1
45,Senthil group company Apnt 5pm.,1
46,I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-),1
47,"Good morning, im suffering from fever and dysentry ..will not be able to come to office today.",1
48,"Bill, as in: Are there any letters for me. i’m expecting one from orange that isn’t a bill but may still say orange on it.",1
49,Oh that was a forwarded message. I thought you send that to me,1
50,"Haha yeah, 2 oz is kind of a shitload",1
51,Some of them told accenture is not confirm. Is it true.,1
52,Oh you got many responsibilities.,1
53,100 dating service cal;l 09064012103 box334sk38ch,0
54,Love you aathi..love u lot..,1
55,Your gonna be the death if me. I'm gonna leave a note that says its all robs fault. Avenge me.,1
56,"As usual..iam fine, happy &amp; doing well..:)",1
57,"Total disappointment, when I texted you was the craziest shit got :(",1
58,Cant think of anyone with * spare room off * top of my head,1
59,What he said is not the matter. My mind saying some other matter is there.,1
60,Today am going to college so am not able to atten the class.,1
61,Super msg da:)nalla timing.,1
62,I've told you everything will stop. Just dont let her get dehydrated.,1
63,Oh baby of the house. How come you dont have any new pictures on facebook,1
64,"Hey, a guy I know is breathing down my neck to get him some bud, anyway you'd be able to get a half track to usf tonight?",1
65,I am great! How are you?,1
66,Don know..he is watching film in computer..,1
67,"Right on brah, see you later",1
68,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+",0
69,I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?,1
70,"Goodmorning, today i am late for 1hr.",1
71,Thanks for ve lovely wisheds. You rock,1
72,Now press conference da:),1
73,I'll probably be around mu a lot,1
74,Bugis oso near wat... ,1
75,No. Did you multimedia message them or e-mail?,1
76,I am waiting machan. Call me once you free.,1
77,Sorry I missed your call let's talk when you have the time. I'm on 07090201529,0
78,Wat r u doing now?,1
79,Yes ammae....life takes lot of turns you can only sit and try to hold the steering...,1
80,Heehee that was so funny tho,1
81,Sleeping nt feeling well,1
82,I can send you a pic if you like :),1
83,Dai  &lt;#&gt;  naal eruku.,1
84,For many things its an antibiotic and it can be used for chest abdomen and gynae infections even bone infections.,1
85,Hows the champ just leaving glasgow!,1
86,"Dear Hero,i am leaving to qatar tonite for an apt opportunity.pls do keep in touch at  &lt;EMAIL&gt; ,kerala",1
87,"Lol you forgot it eh ? Yes, I'll bring it in babe",1
88,Hey so whats the plan this sat? ,1
89,Hey. You got any mail?,1
90,"G says you never answer your texts, confirm/deny",1
91,Watching telugu movie..wat abt u?,1
92,Please give it 2  or i will pick it up on Tuesday evening about 8 if that is ok.,1
93,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,0
94, what number do u live at? Is it 11?,1
95,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;,1
96,Dear we got  &lt;#&gt;  dollars hi hi,1
97,"Ill call u 2mrw at ninish, with my address that icky American freek wont stop callin me 2 bad Jen k eh?",1
98,But am going to college pa. What to do. are else ill come there it self. Pa.,1
99,Ok but knackered. Just came home and went to sleep! Not good at this full time work lark.,1
100,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",1
101,"Ola would get back to you maybe not today but I ve told him you can be his direct link in the US in getting cars he bids for online, you arrange shipping and you get a cut. Or U????? For a partnership where U????? Invest money for shipping and he takes care of the rest!U??Wud b self reliant soon dnt worry",1
102,Are you wet right now?,1
103,Men like shorter ladies. Gaze up into his eyes.,1
104,"Free Msg: get Gnarls Barkleys ""Crazy"" ringtone TOTALLY FREE just reply GO to this message right now!",0
105,Ok...,1
106,Don‘t give a flying monkeys wot they think and I certainly don‘t mind. Any friend of mine and all that!,1
107,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,1
108,No shoot me. I'm in the docs waiting room. :/,1
109,Your right! I'll make the appointment right now.,1
110,Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app ,0
111,Appt is at &lt;TIME&gt; am. Not my fault u don't listen. I told u twice,1
112,I'm gonna rip out my uterus.,1
113,Wow so healthy. Old airport rd lor. Cant thk of anything else. But i'll b bathing my dog later.,1
114,Sure! I am driving but will reach my destination soon.,1
115,Ha... U jus ate honey ar? So sweet...,1
116,How much did ur hdd casing cost.,1
117,No. I.ll meet you in the library,1
118,Ok...,1
119,PRIVATE! Your 2003 Account Statement for 078,0
120,Ya very nice. . .be ready on thursday,1
121,"Cant believe i said so many things to you this morning when all i really wanted to say was good morning, i love you! Have a beautiful morning. See you in the library later.",1
122,"Urgent! Please call 0906346330. Your ABTA complimentary 4* Spanish Holiday or £10,000 cash await collection SAE T&Cs BOX 47 PO19 2EZ 150ppm 18+",0
123,"Hack Chat. Get backdoor entry into 121 chat rooms at a fraction of the cost. Reply NEO69 or call 09050280520, to subscribe 25p pm. DPS, Bcm box 8027 Ldn, wc1n3xx",0
124,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,0
125,Depends on where u going lor.,1
126,alright. Thanks for the advice. Enjoy your night out. I'ma try to get some sleep...,1
127,See you there! ,1
128,True lov n care wil nevr go unrecognized. though somone often makes mistakes when valuing it. but they will definitly undrstnd once when they start missing it.,1
129,yay! finally lol. i missed our cinema trip last week :-(,1
130,I thk ü gotta go home by urself. Cos i'll b going out shopping 4 my frens present. ,1
131,Well there's a pattern emerging of my friends telling me to drive up and come smoke with them and then telling me that I'm a weed fiend/make them smoke too much/impede their doing other things so you see how I'm hesitant,1
132,You are a very very very very bad girl. Or lady.,1
133,Tell dear what happen to you. Why you talking to me like an alian,1
134,"He is impossible to argue with and he always treats me like his sub, like he never released me ... Which he did and I will remind him of that if necessary",1
135,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,0
136,You are not bothering me but you have to trust my answers. Pls.,1
137,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com,0
138,"Final Chance! Claim ur £150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Subs 16",0
139,Lol grr my mom is taking forever with my prescription. Pharmacy is like 2 minutes away. Ugh.,1
140,My battery is low babe,1
141,"Rose needs water, season needs change, poet needs imagination..My phone needs ur sms and i need ur lovely frndship forever....",1
142,"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try",1
143,Its a part of checking IQ,1
144,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days,0
145,"Yeah, in fact he just asked if we needed anything like an hour ago. When and how much?",1
146,"Nowadays people are notixiquating the laxinorficated opportunity for bambling of entropication.... Have you ever oblisingately opted ur books for the masteriastering amplikater of fidalfication? It is very champlaxigating, i think it is atrocious.. Wotz Ur Opinion???? Junna",1
147,What's ur pin?,1
148,Here got ur favorite oyster... N got my favorite sashimi... Ok lar i dun say already... Wait ur stomach start rumbling...,1
149,here is my new address -apples&pairs&all that malarky,1
150,Dont pick up d call when something important is There to tell. Hrishi,1
151,Boo what time u get out? U were supposed to take me shopping today. :(,1
152,Ok. How many should i buy.,1
153,ARR birthday today:) i wish him to get more oscar.,1
154,His bday real is in april .,1
155,Oooh bed ridden ey? What are YOU thinking of?,1
156,Ya had just now.onion roast.,1
157,I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon,1
158,Did u find out what time the bus is at coz i need to sort some stuff out.,1
159,Thanks honey but still haven't heard anything I will leave it a bit longer so not 2 crowd him and will try later - great advice thanks hope cardiff is still there!,1
160,Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm,0
161,He neva grumble but i sad lor... Hee... Buy tmr lor aft lunch. But we still meetin 4 lunch tmr a not. Neva hear fr them lei. Ü got a lot of work ar?,1
162,Aiyo please ü got time meh.,1
163,Still work going on:)it is very small house.,1
164,Macha dont feel upset.i can assume your mindset.believe me one evening with me and i have some wonderful plans for both of us.LET LIFE BEGIN AGAIN.call me anytime,1
165,Thanks honey. Have a great day.,1
166,Haf u eaten? Wat time u wan me 2 come?,1
167,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,0
168,If u sending her home first it's ok lor. I'm not ready yet.,1
169,So that takes away some money worries,1
170,Do u ever get a song stuck in your head for no reason and it won't go away til u listen to it like 5 times?,1
171,I dun believe u. I thk u told him.,1
172,Pls give her the food preferably pap very slowly with loads of sugar. You can take up to an hour to give it. And then some water. Very very slowly.,1
173,Squeeeeeze!! This is christmas hug.. If u lik my frndshp den hug me back.. If u get 3 u r cute:) 6 u r luvd:* 9 u r so lucky;) None? People hate u:,1
174,"Each Moment in a day,has its own value-Morning brings hope,afternoon brings faith,Evening brings luv,Night brings rest,Wish u find them all today.Good Morning",1
175,"Not really dude, have no friends i'm afraid :(",1
176,"Okey dokey, i‘ll be over in a bit just sorting some stuff out.",1
177,"Usf I guess, might as well take 1 car",1
