,guid,gold,sm,en
0,1727,1,[0.05227678 0.94772322],0.20516528925232383
1,5837,1,[0.00895545 0.99104455],0.0511445819020836
2,4320,1,[0.81435985 0.18564015],0.47983901754369596
3,4772,1,[5.77889702e-04 9.99422110e-01],0.0048865420071762585
4,13,1,[0.59348724 0.40651276],0.6755641522698976
5,1628,1,[0.07713238 0.92286762],0.2717091551781924
6,631,1,[5.31133887e-04 9.99468866e-01],0.004536005985868275
7,1001,0,[0.99624984 0.00375016],0.024691340847871574
8,3166,0,[0.96663508 0.03336492],0.1462510837342545
9,2006,0,[0.93331029 0.06668971],0.24499084098183888
10,1011,1,[6.24733707e-04 9.99375266e-01],0.005233939429446914
11,4366,1,[8.12234281e-04 9.99187766e-01],0.006591537455354451
12,625,0,[0.89562177 0.10437823],0.33459777997994383
13,4580,0,[0.76312195 0.23687805],0.5474545214262536
14,1105,0,[0.99628801 0.00371199],0.024478092650883427
15,765,0,[0.9915868 0.0084132],0.04857556934549281
16,209,1,[0.04964718 0.95035282],0.19747506391600367
17,1064,1,[0.01880117 0.98119883],0.09333607787213585
18,3854,0,[0.89897235 0.10102765],0.32733510685989536
19,5975,0,[0.98117374 0.01882626],0.0934353093228278
20,955,1,[0.00229806 0.99770194],0.016257700889016492
21,1000,1,[0.00845147 0.99154853],0.04875805164009137
22,2509,1,[4.43432705e-04 9.99556567e-01],0.0038670625482042503
23,5005,1,[4.63353505e-04 9.99536646e-01],0.00402042039371798
24,3384,1,[0.00872284 0.99127716],0.050046744348093405
25,5941,0,[0.99171791 0.00828209],0.04794920031342545
26,346,0,[0.99611046 0.00388954],0.025466839462431806
27,4807,0,[0.44903101 0.55096899],0.6879424678470356
28,3399,0,[0.94141682 0.05858318],0.22305115331207834
29,2809,0,[0.98500245 0.01499755],0.0778722447782865
30,3035,0,[0.98451673 0.01548327],0.07989696602883427
31,4605,0,[0.9923795 0.0076205],0.044755915066652885
32,157,1,[5.39942620e-04 9.99460057e-01],0.004602350843090707
33,2641,0,[0.30314238 0.69685762],0.6135033716983436
34,3812,0,[0.99575231 0.00424769],0.027436903860652107
35,5684,0,[0.91784326 0.08215674],0.2840055278198594
36,200,1,[3.83882364e-04 9.99616118e-01],0.0034031104133374194
37,1127,0,[0.98032624 0.01967376],0.09676672744892055
38,5840,1,[0.31227612 0.68772388],0.620909735222118
39,617,0,[0.98006997 0.01993003],0.09776669387477982
40,3479,1,[0.20278124 0.79721876],0.5042339446980726
41,3366,1,[0.09967146 0.90032854],0.3243604999998889
42,415,0,[0.99379218 0.00620782],0.0377362969090806
43,471,0,[0.91982008 0.08017992],0.2792085877279908
44,457,1,[5.04581655e-04 9.99495418e-01],0.004335127692530242
45,662,0,[0.99389455 0.00610545],0.0372158624895879
46,8,0,[0.99387308 0.00612692],0.03732516587342221
47,1889,0,[0.95087981 0.04912019],0.19591649173253312
48,3345,0,[0.98211705 0.01788295],0.08968141986321766
49,4298,1,[0.01014691 0.98985309],0.05667551672703007
50,384,1,[9.30566303e-04 9.99069434e-01],0.007425222846806473
51,4282,0,[0.9739435 0.0260565],0.1207548277284387
52,6018,0,[0.94890879 0.05109121],0.20171580949317303
53,4074,0,[0.99218144 0.00781856],0.045717728856424916
54,671,0,[0.9622416 0.0377584],0.16075358814364651
55,2195,0,[0.98663197 0.01336803],0.0709598660347167
56,2614,0,[0.99493502 0.00506498],0.03182261923704892
57,3930,1,[5.17970971e-04 9.99482029e-01],0.004436593506297197
58,2931,1,[7.0707978e-04 9.9929292e-01],0.005836246003632249
59,5085,0,[0.91408536 0.08591464],0.2929824851065693
60,852,1,[7.22285160e-04 9.99277715e-01],0.0059463782065464375
61,1633,1,[5.13352192e-04 9.99486648e-01],0.004401631439797271
62,3493,0,[0.99578816 0.00421184],0.02724111726195437
63,4527,1,[6.92503404e-04 9.99307497e-01],0.0057303625331266385
64,5311,1,[3.00084892e-04 9.99699915e-01],0.0027341620051568112
65,2714,0,[0.99799022 0.00200978],0.014487924500106103
66,4478,0,[0.99571541 0.00428459],0.02763810946691047
67,521,1,[4.97844463e-04 9.99502156e-01],0.004283938607226392
68,1072,0,[0.96603543 0.03396457],0.14826416960044814
69,6085,0,[0.97568495 0.02431505],0.11438778018270407
70,4626,1,[0.0033078 0.9966922],0.0221947202103547
71,1525,0,[0.9823673 0.0176327],0.08867717498008491
72,3323,1,[0.02312264 0.97687736],0.10995488716449231
73,547,0,[0.98804871 0.01195129],0.06478696247634595
74,3012,1,[0.07727277 0.92272723],0.27205746844764295
75,5892,1,[7.02871032e-04 9.99297129e-01],0.005805704619538651
76,2963,0,[0.95992835 0.04007165],0.16817178881438158
77,6076,0,[0.96712828 0.03287172],0.1445870267878453
78,5250,0,[0.97159114 0.02840886],0.12916694783298172
79,4364,1,[5.16804516e-04 9.99483195e-01],0.004427767866694889
80,3686,0,[0.55645736 0.44354264],0.6867586985225225
81,2059,0,[0.93665231 0.06334769],0.23608113549335075
82,6019,0,[0.98375276 0.01624724],0.08305044813500234
83,3532,0,[0.9420413 0.0579587],0.22131347880109248
84,193,1,[0.00451996 0.99548004],0.02891414344881353
85,2491,1,[0.11865824 0.88134176],0.36424308540436506
86,5925,1,[0.70844987 0.29155013],0.6035338109899206
87,3173,1,[5.06248777e-04 9.99493751e-01],0.0043477805213481754
88,436,1,[5.40171431e-04 9.99459829e-01],0.004604072255724496
89,1768,0,[0.98594466 0.01405534],0.07389864231105152
90,4693,0,[0.96235603 0.03764397],0.1603828698000237
91,4933,1,[7.81846130e-04 9.99218154e-01],0.006374752378155686
92,1838,0,[0.99570582 0.00429418],0.027690344628992128
93,3537,1,[0.05189607 0.94810393],0.20406070149665928
94,4115,0,[0.87713665 0.12286335],0.37259145409600225
95,2761,0,[0.98041201 0.01958799],0.09643128635245893
96,3995,1,[7.22359847e-04 9.99277640e-01],0.005946918369213076
97,5039,1,[0.14572555 0.85427445],0.4152224040144713
98,1164,0,[0.98604408 0.01395592],0.0734757131187133
99,2894,0,[0.99520257 0.00479743],0.030402605840412315
100,5094,1,[0.95433385 0.04566615],0.18555111250943185
101,3695,0,[0.27463202 0.72536798],0.5878117185528482
102,4141,1,[0.00184435 0.99815565],0.01345396638357246
103,4183,0,[0.98021283 0.01978717],0.09720965950471268
104,4519,1,[0.00117429 0.99882571],0.009096623421886836
105,2525,0,[0.99499061 0.00500939],0.03152875179893938
106,3560,1,[0.00726758 0.99273242],0.04302906882382086
107,829,0,[0.97750652 0.02249348],0.1075907677150912
108,2261,1,[5.27166783e-04 9.99472833e-01],0.004506079298947401
109,3927,1,[7.12559387e-04 9.99287441e-01],0.005875972010162669
110,419,1,[0.00554197 0.99445803],0.03431934198300438
111,859,0,[0.97815331 0.02184669],0.10514161754433946
112,2921,1,[0.0010086 0.9989914],0.00796660518120255
113,5356,0,[0.99569318 0.00430682],0.027759165117469415
114,4051,0,[0.99163121 0.00836879],0.048363671130797044
115,4352,0,[0.99439859 0.00560141],0.03462753529570432
116,2940,1,[0.01294328 0.98705672],0.06912588675372568
117,5467,0,[0.99241082 0.00758918],0.044603347767487235
118,1100,0,[0.80986336 0.19013664],0.48642103840161277
119,2935,0,[0.99579443 0.00420557],0.02720685371835943
120,4003,1,[3.45992345e-04 9.99654008e-01],0.0031031779740067736
121,2332,1,[8.68055412e-04 9.99131945e-01],0.006986822504663471
122,3545,0,[0.99403673 0.00596327],0.0364901221345754
123,5553,1,[0.00106312 0.99893688],0.008341247900357694
124,4083,0,[0.9611538 0.0388462],0.16425982148829554
125,1943,0,[0.99494552 0.00505448],0.031767128895950424
126,2302,0,[0.94880187 0.05119813],0.2020280632174877
127,2631,1,[6.49470853e-04 9.99350529e-01],0.0054159554938741404
