,guid,gold,sm,en
0,23493,1,[8.37615955e-04 9.99162384e-01],0.006771732932492431
1,24825,1,[0.0032071 0.9967929],0.021618358446396303
2,20509,1,[0.00222997 0.99777003],0.015843152691018526
3,10239,0,[9.99423855e-01 5.76144926e-04],0.004873531108719133
4,10998,0,[9.99719573e-01 2.80426921e-04],0.002574054742002581
5,6518,0,[9.99623389e-01 3.76610695e-04],0.003345850922372125
6,9775,0,[9.99666300e-01 3.33699717e-04],0.0030050000403769616
7,7080,0,[9.99597276e-01 4.02724058e-04],0.0035508411978376654
8,11257,0,[9.99496192e-01 5.03807777e-04],0.004329252375851679
9,24873,1,[0.00671203 0.99328797],0.040275446852290224
10,22485,1,[0.00878251 0.99121749],0.050328944217914666
11,5321,0,[9.99180125e-01 8.19875073e-04],0.006645865140965397
12,17785,1,[0.00368485 0.99631515],0.024326229468273612
13,17430,1,[0.00103478 0.99896522],0.008146861251168216
14,8458,0,[9.99495948e-01 5.04051551e-04],0.004331103245924724
15,15328,1,[0.00185506 0.99814494],0.01352135944769388
16,24529,1,[0.00157166 0.99842834],0.011716446160529354
17,24657,1,[0.00671497 0.99328503],0.04029018381777147
18,21010,1,[4.96713603e-04 9.99503286e-01],0.00427533743970232
19,10353,0,[9.99441587e-01 5.58413274e-04],0.004741002390487231
20,11871,0,[9.99462535e-01 5.37464869e-04],0.00458370376960522
21,80,0,[0.99477917 0.00522083],0.03264314369101008
22,10877,0,[9.99529739e-01 4.70261272e-04],0.0040733970052471416
23,4548,0,[9.99643870e-01 3.56130034e-04],0.00318381551742016
24,18884,1,[7.28036351e-04 9.99271964e-01],0.005987950085632192
25,2005,0,[9.99582841e-01 4.17159249e-04],0.003663423237574149
26,7870,0,[9.99521809e-01 4.78191163e-04],0.004134087340891024
27,23858,1,[0.01480216 0.98519784],0.07705327906721897
28,24949,1,[0.00156651 0.99843349],0.011683242882045496
29,803,0,[0.9986413 0.0013587],0.01032687379943523
30,21921,1,[5.90484560e-04 9.99409515e-01],0.0049803072513545
31,13938,1,[7.20282670e-04 9.99279717e-01],0.005931892678443549
32,12568,1,[9.81526468e-04 9.99018474e-01],0.007779491091300085
33,16640,1,[0.00811511 0.99188489],0.047148444863977824
34,15761,1,[0.00296139 0.99703861],0.02019847194274584
35,20629,1,[0.00240936 0.99759064],0.016931050376618472
36,13374,1,[6.57564186e-04 9.99342436e-01],0.00547529981211275
37,715,0,[9.99687801e-01 3.12199144e-04],0.0028321810852264292
38,7556,0,[9.99669735e-01 3.30264954e-04],0.0029774872406770772
39,2916,0,[0.995703 0.004297],0.02770569980990596
40,9658,0,[9.99574792e-01 4.25207627e-04],0.003725975518927275
41,24435,1,[0.00130877 0.99869123],0.009996420135769825
42,14303,1,[0.00112089 0.99887911],0.00873520867523022
43,12252,0,[0.99885109 0.00114891],0.008925123407245569
44,14407,1,[0.0029692 0.9970308],0.020243942524447132
45,2980,0,[9.99603146e-01 3.96854495e-04],0.003504916671363875
46,14316,1,[0.00124601 0.99875399],0.009578341706608451
47,309,0,[9.99655431e-01 3.44568681e-04],0.003091830216104763
48,5156,0,[0.99778266 0.00221734],0.015766061786839734
49,12750,1,[0.00168749 0.99831251],0.01245984899182623
50,19567,1,[0.00217401 0.99782599],0.015500877935196783
51,5257,0,[9.99502512e-01 4.97487852e-04],0.004281226546550203
52,19004,1,[0.00584978 0.99415022],0.03590841163090451
53,18879,1,[0.00167772 0.99832228],0.012397504454542851
54,7843,0,[9.99687271e-01 3.12728579e-04],0.002836454000539684
55,17362,1,[0.00260917 0.99739083],0.018126990114186028
56,9721,0,[0.97923492 0.02076508],0.10100191060376272
57,24431,1,[0.00114893 0.99885107],0.008925277100259404
58,7099,0,[9.99415572e-01 5.84428453e-04],0.004935255120348387
59,4426,0,[9.99239975e-01 7.60024855e-04],0.006218355638222852
60,17483,1,[0.00152032 0.99847968],0.011384298345981878
61,14390,1,[6.80424965e-04 9.99319575e-01],0.005642391846814129
62,23513,1,[8.12424121e-04 9.99187576e-01],0.006592888129087563
63,23255,1,[9.99699400e-01 3.00599665e-04],0.0027383369577089253
64,18829,1,[0.00211279 0.99788721],0.015124793507746875
65,13047,1,[0.00171929 0.99828071],0.012662566181684641
66,20510,1,[0.00232622 0.99767378],0.01642857774872685
67,21656,1,[0.00381137 0.99618863],0.025032526800510005
68,17094,1,[9.31845259e-04 9.99068155e-01],0.007434147530467308
69,15769,1,[0.00270049 0.99729951],0.018668413977870457
70,13531,1,[0.00143933 0.99856067],0.010856630122522134
71,23943,1,[0.8485684 0.1514316],0.42518431989564975
72,23915,1,[0.00118231 0.99881769],0.009150719141336507
73,12062,0,[9.99362850e-01 6.37149939e-04],0.005325418273752645
74,1364,0,[0.99898431 0.00101569],0.008015505559665619
75,22726,1,[0.00111941 0.99888059],0.008725109367583316
76,18625,1,[6.22985917e-04 9.99377014e-01],0.005221042554829308
77,11789,0,[0.99246422 0.00753578],0.04434289611919478
78,24307,1,[7.05575670e-04 9.99294424e-01],0.005825334097589546
79,12885,1,[0.00126263 0.99873737],0.009689300021238443
80,10197,0,[9.99456469e-01 5.43531314e-04],0.0046293385041672585
81,21056,1,[0.00135615 0.99864385],0.010309998985786535
82,15028,1,[0.00177882 0.99822118],0.01304036159423891
83,23727,1,[0.00104848 0.99895152],0.00824094881899391
84,13653,1,[0.00258435 0.99741565],0.017979292991897343
85,22165,1,[0.00538561 0.99461439],0.03350565948224372
86,8058,0,[9.99547020e-01 4.52980022e-04],0.003940670717905014
87,9610,0,[9.99560148e-01 4.39851516e-04],0.003839399396720081
88,11803,0,[9.99545187e-01 4.54813256e-04],0.003954781459440799
89,828,0,[9.99546867e-01 4.53132689e-04],0.003941846106708199
90,16398,1,[8.20651028e-04 9.99179349e-01],0.006651378353908498
91,5832,0,[9.99581155e-01 4.18845379e-04],0.003676540661902228
92,23421,1,[0.00186427 0.99813573],0.01357926264736889
