,guid,gold,sm,en
0,3061,0,[0.96356308 0.03643692],0.1564502556277066
1,326,1,[0.22491207 0.77508793],0.5330550694669316
2,2802,0,[0.99220995 0.00779005],0.04557962488586246
3,365,1,[0.00963458 0.99036542],0.054315571590571834
4,2770,0,[0.99644967 0.00355033],0.023570407685997455
5,30,1,[0.03236684 0.96763316],0.14287565113065392
6,2170,0,[0.96593553 0.03406447],0.1485984615591065
7,15,1,[0.91519698 0.08480302],0.2903460791702571
8,1028,0,[0.9557525 0.0442475],0.18121558549140634
9,1375,0,[0.98669508 0.01330492],0.07068821544175143
10,473,1,[0.02280147 0.97719853],0.1087502755960719
11,1098,0,[0.99701097 0.00298903],0.020359208044255346
12,1492,0,[0.98757907 0.01242093],0.06685113680517074
13,97,1,[0.00708552 0.99291448],0.04213155709629719
14,1450,0,[0.99089623 0.00910377],0.051841408959663084
15,1265,0,[0.98749547 0.01250453],0.0672166811596936
16,335,1,[0.12858749 0.87141251],0.38369274153595595
17,1228,0,[0.9962206 0.0037794],0.024854483888327065
18,474,1,[0.00611757 0.99388243],0.03727757785020986
19,3046,0,[0.99697974 0.00302026],0.020540502138451017
20,2753,0,[0.98776709 0.01223291],0.06602694391642296
21,2851,0,[0.91472974 0.08527026],0.29145615594543384
22,165,1,[0.01182949 0.98817051],0.0642485613789408
23,2406,0,[0.9917103 0.0082897],0.04798564743828559
24,2186,0,[0.99583316 0.00416684],0.026994895888097004
25,3378,0,[0.97937402 0.02062598],0.10046541888391226
26,1563,0,[0.99283788 0.00716212],0.04250977789479911
27,1408,0,[0.99443973 0.00556027],0.034414324942629276
28,2166,0,[0.99020805 0.00979195],0.05504330717353396
29,94,1,[0.01035803 0.98964197],0.057640332113477195
30,3455,0,[0.94704535 0.05295465],0.20712479572113812
31,1358,0,[0.97071274 0.02928726],0.1322558172710406
32,220,1,[0.07392986 0.92607014],0.2636876660801936
33,1027,0,[0.9755635 0.0244365],0.11483587082829762
34,2079,0,[0.98731625 0.01268375],0.06799842593314903
35,2333,0,[0.98890143 0.01109857],0.06099074375754881
36,1367,0,[0.99817611 0.00182389],0.01332509214311614
37,1824,0,[0.9827081 0.0172919],0.08730371066670585
