,guid,gold,sm,en
0,1503,1,[3.15692406e-04 9.99684308e-01],0.0028603576779168915
1,4145,1,[1.43154789e-04 9.99856845e-01],0.001410291193354365
2,3677,1,[1.78915847e-04 9.99821084e-01],0.0017226922186341454
3,1492,1,[2.25801173e-04 9.99774199e-01],0.0021215697496022997
4,986,1,[1.03522635e-04 9.99896477e-01],0.001053412021209283
5,3279,1,[1.05391976e-04 9.99894608e-01],0.0010705475928459375
6,3982,1,[1.02478919e-04 9.99897521e-01],0.0010438300025445884
7,838,1,[1.20701883e-04 9.99879298e-01],0.0012096895414691418
8,2753,1,[1.72321051e-04 9.99827679e-01],0.0016656664951369051
9,3862,0,[9.99602025e-01 3.97975428e-04],0.00351369372515619
10,1575,0,[9.99713289e-01 2.86710948e-04],0.002625381364413621
11,3566,0,[9.99474033e-01 5.25966970e-04],0.00449702238627874
12,2883,1,[1.10533415e-04 9.99889467e-01],0.001117508010154754
13,2727,1,[1.98965984e-04 9.99801034e-01],0.0018946092524871777
14,409,1,[9.64104573e-05 9.99903590e-01],0.0009879032703710242
15,1145,1,[1.34456296e-04 9.99865544e-01],0.0013330271593297886
16,3315,1,[6.51360405e-04 9.99348640e-01],0.005429819604278447
17,2158,1,[2.19213163e-04 9.99780787e-01],0.002066162178946944
18,2101,1,[1.77762252e-04 9.99822238e-01],0.0017127347925073092
19,2481,1,[1.05883756e-04 9.99894116e-01],0.0010750500295273195
20,3433,1,[9.39766846e-05 9.99906023e-01],0.0009653676785932471
21,3525,1,[2.12175257e-04 9.99787825e-01],0.0020067518521614536
22,840,0,[9.99722435e-01 2.77565216e-04],0.002550634436646701
23,3107,1,[6.38225052e-05 9.99936177e-01],0.0006803078746075121
24,4378,1,[1.36924607e-04 9.99863075e-01],0.001355007501973455
25,1803,1,[1.77578019e-04 9.99822422e-01],0.0017111438691729717
26,72,1,[1.21247923e-04 9.99878752e-01],0.001214614717225901
27,1941,1,[1.28600397e-04 9.99871400e-01],0.0012806974533298618
28,3991,0,[9.99649611e-01 3.50389481e-04],0.0031381898047426254
29,3616,1,[9.71827103e-05 9.99902817e-01],0.0009950410537795027
30,317,1,[1.24140278e-04 9.99875860e-01],0.001240662443591909
31,3172,1,[1.21702396e-04 9.99878298e-01],0.0012187120990760651
32,2468,1,[1.96968460e-04 9.99803032e-01],0.0018775759360358637
33,3784,1,[1.27790492e-04 9.99872210e-01],0.0012734392217436789
34,1230,1,[1.91043101e-04 9.99808957e-01],0.0018269291207581029
35,1769,1,[1.23767957e-04 9.99876232e-01],0.001237313239901761
36,1320,1,[2.06260847e-04 9.99793739e-01],0.001956645216309028
37,1283,1,[8.67000281e-05 9.99913300e-01],0.0008976065177791483
38,2895,1,[2.90679596e-04 9.99709320e-01],0.0026577252883416996
39,1483,1,[1.53593297e-04 9.99846407e-01],0.0015023153226499347
40,1013,0,[9.99470591e-01 5.29409081e-04],0.0045229982028134105
41,1556,1,[1.55703659e-04 9.99844296e-01],0.001520832081016852
42,2302,1,[1.11950262e-04 9.99888050e-01],0.0011304065603650057
43,1561,0,[9.99672533e-01 3.27467048e-04],0.0029550493355861725
44,475,0,[9.99740200e-01 2.59799987e-04],0.002404570622593708
45,1976,1,[1.93344851e-04 9.99806655e-01],0.0018466247777833885
46,2668,1,[1.55721773e-04 9.99844278e-01],0.001520990893383758
47,3770,1,[1.37739388e-04 9.99862261e-01],0.0013622533279677828
48,2999,1,[1.25115292e-04 9.99874885e-01],0.0012494278726537219
49,280,1,[1.56425170e-04 9.99843575e-01],0.0015271561853293922
50,3450,1,[1.53492495e-04 9.99846508e-01],0.0015014301465491207
51,2465,1,[1.3370013e-04 9.9986630e-01],0.0013262844645542146
52,3469,1,[1.57467193e-04 9.99842533e-01],0.0015362837398297145
53,3102,1,[4.07676492e-04 9.99592324e-01],0.003589523329498553
54,1555,1,[1.41185337e-04 9.99858815e-01],0.0013928450942378978
55,353,1,[1.56355455e-04 9.99843645e-01],0.0015265452765131316
56,1263,1,[1.58251112e-04 9.99841749e-01],0.001543145895692107
57,3013,1,[8.88238245e-05 9.99911176e-01],0.0009174445161333972
58,1639,1,[1.25030674e-04 9.99874969e-01],0.0012486674559333796
59,2478,1,[1.34995150e-04 9.99865005e-01],0.0013378295058452854
60,988,1,[1.49970194e-04 9.99850030e-01],0.0014704575992571718
61,4183,0,[0.99891092 0.00108908],0.008518673701958787
62,3245,1,[8.07560108e-05 9.99919244e-01],0.0008418037077471934
63,4208,0,[9.99719951e-01 2.80049127e-04],0.0025709645436264848
64,506,1,[9.96235225e-05 9.99900376e-01],0.00101756087936354
65,1324,1,[1.11896792e-04 9.99888103e-01],0.0011299201121697479
66,4455,0,[9.99710965e-01 2.89035046e-04],0.0026443290533422702
67,775,1,[1.08230121e-04 9.99891770e-01],0.0010965006435060599
68,1590,1,[1.89463253e-04 9.99810537e-01],0.001813394618650959
69,2237,1,[1.25766773e-04 9.99874233e-01],0.0012552804851093083
70,2983,0,[0.99653736 0.00346264],0.023075010676143173
71,4075,1,[1.54799676e-04 9.99845200e-01],0.0015129038741831416
72,578,1,[1.83563990e-04 9.99816436e-01],0.0017627384580185185
73,2379,1,[1.12035269e-04 9.99887965e-01],0.0011311798656020756
74,4023,1,[8.97123100e-05 9.99910288e-01],0.0009257285610081174
75,1368,1,[1.55969345e-04 9.99844031e-01],0.0015231612317213245
76,1607,1,[1.00078749e-04 9.99899921e-01],0.0010217543052751929
77,1109,1,[1.47038104e-04 9.99852962e-01],0.0014446119165438891
78,2449,1,[1.55845881e-04 9.99844154e-01],0.0015220789376337977
79,97,1,[1.17120366e-04 9.99882880e-01],0.0011773231760127884
80,3478,1,[1.71017932e-04 9.99828982e-01],0.0016543687500489264
81,3574,0,[9.99565183e-01 4.34817182e-04],0.0038004619423832667
82,2234,1,[1.89318426e-04 9.99810682e-01],0.0018121532282090712
83,1220,0,[9.99723264e-01 2.76735773e-04],0.002543840743190636
84,2736,1,[4.61071220e-04 9.99538929e-01],0.004002894676113091
85,3215,1,[1.37809082e-04 9.99862191e-01],0.0013628728881456469
86,884,1,[1.34242611e-04 9.99865757e-01],0.0013311221740233746
87,2137,1,[1.13618724e-04 9.99886381e-01],0.0011455727612798994
88,4402,0,[9.99706084e-01 2.93916381e-04],0.0026840644554264755
89,3079,1,[1.21518827e-04 9.99878481e-01],0.0012170573035447788
90,3635,1,[1.2471959e-04 9.9987528e-01],0.001245871409297395
